model,eval_set,tool,n,parse_rate,function_accuracy,argument_exact_match,tool_call_exact_match,source_file
babyA,eval,create_calendar_event,214,0.02336448598130841,0.0,0.0,0.0,babyA-per-tool.csv
babyA,eval,create_contact,182,0.01098901098901099,0.0,0.0,0.0,babyA-per-tool.csv
babyA,eval,open_wifi_settings,107,0.018691588785046728,0.0,0.0,0.0,babyA-per-tool.csv
babyA,eval,send_email,134,0.014925373134328358,0.0,0.0,0.0,babyA-per-tool.csv
babyA,eval,show_map,148,0.02027027027027027,0.02027027027027027,0.0,0.0,babyA-per-tool.csv
babyA,eval,turn_off_flashlight,91,0.03296703296703297,0.0,0.0,0.0,babyA-per-tool.csv
babyA,eval,turn_on_flashlight,85,0.011764705882352941,0.0,0.0,0.0,babyA-per-tool.csv
babyB,eval,create_calendar_event,214,0.3317757009345794,0.0,0.0,0.0,babyB-per-tool.csv
babyB,eval,create_contact,182,0.32967032967032966,0.0,0.0,0.0,babyB-per-tool.csv
babyB,eval,open_wifi_settings,107,0.40186915887850466,0.0,0.0,0.0,babyB-per-tool.csv
babyB,eval,send_email,134,0.3358208955223881,0.0,0.0,0.0,babyB-per-tool.csv
babyB,eval,show_map,148,0.3581081081081081,0.34459459459459457,0.0,0.0,babyB-per-tool.csv
babyB,eval,turn_off_flashlight,91,0.37362637362637363,0.0,0.0,0.0,babyB-per-tool.csv
babyB,eval,turn_on_flashlight,85,0.4235294117647059,0.0,0.0,0.0,babyB-per-tool.csv
functiongemma:270m,eval,create_calendar_event,214,0.9813084112149533,0.6214953271028038,0.49065420560747663,0.49065420560747663,functiongemma-per-tool.csv
functiongemma:270m,eval,create_contact,182,0.989010989010989,0.7032967032967034,0.17032967032967034,0.17032967032967034,functiongemma-per-tool.csv
functiongemma:270m,eval,open_wifi_settings,107,1.0,0.8785046728971962,0.9345794392523364,0.8785046728971962,functiongemma-per-tool.csv
functiongemma:270m,eval,send_email,134,1.0,0.5298507462686567,0.291044776119403,0.291044776119403,functiongemma-per-tool.csv
functiongemma:270m,eval,show_map,148,0.918918918918919,0.6283783783783784,0.30405405405405406,0.30405405405405406,functiongemma-per-tool.csv
functiongemma:270m,eval,turn_off_flashlight,91,1.0,0.978021978021978,1.0,0.978021978021978,functiongemma-per-tool.csv
functiongemma:270m,eval,turn_on_flashlight,85,1.0,0.8705882352941177,0.9294117647058824,0.8705882352941177,functiongemma-per-tool.csv
babyA-v15-dsl-3,eval,create_calendar_event,214,0.35514018691588783,0.0,0.0,0.0,v15-babyA-per-tool.csv
babyA-v15-dsl-3,eval,create_contact,182,0.32967032967032966,0.0,0.0,0.0,v15-babyA-per-tool.csv
babyA-v15-dsl-3,eval,open_wifi_settings,107,0.37383177570093457,0.0,0.3177570093457944,0.0,v15-babyA-per-tool.csv
babyA-v15-dsl-3,eval,send_email,134,0.373134328358209,0.0,0.0,0.0,v15-babyA-per-tool.csv
babyA-v15-dsl-3,eval,show_map,148,0.3783783783783784,0.0,0.0,0.0,v15-babyA-per-tool.csv
babyA-v15-dsl-3,eval,turn_off_flashlight,91,0.4065934065934066,0.0,0.3626373626373626,0.0,v15-babyA-per-tool.csv
babyA-v15-dsl-3,eval,turn_on_flashlight,85,0.35294117647058826,0.0,0.27058823529411763,0.0,v15-babyA-per-tool.csv
babyB-v15-dsl-3,eval,create_calendar_event,214,0.12149532710280374,0.0,0.0,0.0,v15-babyB-per-tool.csv
babyB-v15-dsl-3,eval,create_contact,182,0.09340659340659341,0.0,0.0,0.0,v15-babyB-per-tool.csv
babyB-v15-dsl-3,eval,open_wifi_settings,107,0.08411214953271028,0.0,0.056074766355140186,0.0,v15-babyB-per-tool.csv
babyB-v15-dsl-3,eval,send_email,134,0.09701492537313433,0.0,0.0,0.0,v15-babyB-per-tool.csv
babyB-v15-dsl-3,eval,show_map,148,0.08108108108108109,0.006756756756756757,0.0,0.0,v15-babyB-per-tool.csv
babyB-v15-dsl-3,eval,turn_off_flashlight,91,0.18681318681318682,0.0,0.12087912087912088,0.0,v15-babyB-per-tool.csv
babyB-v15-dsl-3,eval,turn_on_flashlight,85,0.18823529411764706,0.08235294117647059,0.08235294117647059,0.08235294117647059,v15-babyB-per-tool.csv
